RemAddress RemoteAddress
RemPort RemotePort
SACK SACKEnabled
TimeStamps TimestampsEnabled
ECN ECNEnabled
SndWindScale SndWinScale
RcvWindScale RcvWinScale
SegsOut PktsOut
DataSegsOut DataPktsOut
HCDataOctetsOut DataBytesOut
SegsRetrans PktsRetrans
OctetsRetrans BytesRetrans
SegsIn PktsIn
DataSegsIn DataPktsIn
HCDataOctetsIn DataBytesIn
Duration CurrTime
StartTimeStamp StartTimeSec StartTime StartTimeUsec
CurMSS CurrentMSS
SampleRTT SampledRTT
CurRTO CurrentRTO
SndUna snd_una
SndNxt snd_nxt
SndMax snd_max
HCThruOctetsAcked ThruBytesAcked
RcvNxt rcv_nxt
HCThruOctetsReceived ThruBytesReceived
SndLimTransSnd SndLimTransSender
SndLimTimeSnd SndLimTimeSender
Nagle NagleEnabled
CongSignals CongestionSignals
CongSignals Recoveries PreCongCountRTT
CongOverCount CongestionOverCount
CurCwnd CurrentCwnd
MaxSsCwnd MaxCwnd
CurSsthresh CurrentSsthresh
CurTimeoutCount CurrTimeoutCount
PreCongSumCwnd SumCwndAtCong
SpuriousFrDetected AckAfterFR
SndInitial SndISS
RecInitial RecvISS
CurRetxQueue CurRetranQueue
MaxRetxQueue MaxRetranQueue
X_Sndbuf Sndbuf
CurRwinSent CurrentRwinSent
RcvRTT X_RcvRTT
CERcvd ECERcvd
X_Rcvbuf Rcvbuf
CurRwinRcvd CurrentRwinRcvd
